"Label (Grouping)","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Percent!!Estimate","Maine!!Percent!!Margin of Error","Maine!!Male!!Estimate","Maine!!Male!!Margin of Error","Maine!!Percent Male!!Estimate","Maine!!Percent Male!!Margin of Error","Maine!!Female!!Estimate","Maine!!Female!!Margin of Error","Maine!!Percent Female!!Estimate","Maine!!Percent Female!!Margin of Error"
"Total population","1,372,247","*****","(X)","(X)","673,483","±1,978","(X)","(X)","698,764","±1,978","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","61,034","±702","4.4%","±0.1","31,287","±845","4.6%","±0.1","29,747","±775","4.3%","±0.1"
"        5 to 9 years","69,073","±3,394","5.0%","±0.2","32,380","±2,445","4.8%","±0.4","36,693","±2,582","5.3%","±0.4"
"        10 to 14 years","73,257","±3,231","5.3%","±0.2","40,033","±2,330","5.9%","±0.3","33,224","±2,403","4.8%","±0.3"
"        15 to 19 years","76,221","±1,810","5.6%","±0.1","38,907","±1,284","5.8%","±0.2","37,314","±1,534","5.3%","±0.2"
"        20 to 24 years","77,584","±1,943","5.7%","±0.1","38,708","±1,173","5.7%","±0.2","38,876","±1,544","5.6%","±0.2"
"        25 to 29 years","79,055","±1,547","5.8%","±0.1","38,844","±944","5.8%","±0.1","40,211","±1,181","5.8%","±0.2"
"        30 to 34 years","86,611","±1,567","6.3%","±0.1","43,725","±1,317","6.5%","±0.2","42,886","±888","6.1%","±0.1"
"        35 to 39 years","88,195","±3,996","6.4%","±0.3","43,304","±2,486","6.4%","±0.4","44,891","±2,894","6.4%","±0.4"
"        40 to 44 years","79,254","±4,174","5.8%","±0.3","39,691","±2,445","5.9%","±0.4","39,563","±2,878","5.7%","±0.4"
"        45 to 49 years","79,221","±1,301","5.8%","±0.1","38,932","±974","5.8%","±0.1","40,289","±926","5.8%","±0.1"
"        50 to 54 years","91,478","±979","6.7%","±0.1","46,359","±892","6.9%","±0.1","45,119","±440","6.5%","±0.1"
"        55 to 59 years","103,180","±3,513","7.5%","±0.3","51,745","±2,427","7.7%","±0.4","51,435","±2,439","7.4%","±0.3"
"        60 to 64 years","110,983","±3,749","8.1%","±0.3","52,337","±2,335","7.8%","±0.3","58,646","±2,684","8.4%","±0.4"
"        65 to 69 years","97,326","±3,500","7.1%","±0.3","47,358","±2,390","7.0%","±0.4","49,968","±2,257","7.2%","±0.3"
"        70 to 74 years","86,645","±3,587","6.3%","±0.3","40,862","±2,355","6.1%","±0.4","45,783","±2,249","6.6%","±0.3"
"        75 to 79 years","52,436","±2,585","3.8%","±0.2","24,015","±1,432","3.6%","±0.2","28,421","±1,956","4.1%","±0.3"
"        80 to 84 years","31,632","±2,102","2.3%","±0.2","13,524","±1,282","2.0%","±0.2","18,108","±1,547","2.6%","±0.2"
"        85 years and over","29,062","±2,504","2.1%","±0.2","11,472","±1,226","1.7%","±0.2","17,590","±1,846","2.5%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","142,330","±1,301","10.4%","±0.1","72,413","±942","10.8%","±0.1","69,917","±1,221","10.0%","±0.2"
"        15 to 17 years","46,311","±1,020","3.4%","±0.1","23,352","±868","3.5%","±0.1","22,959","±853","3.3%","±0.1"
"        Under 18 years","249,675","±1,002","18.2%","±0.1","127,052","±1,413","18.9%","±0.2","122,623","±1,570","17.5%","±0.2"
"        18 to 24 years","107,494","±1,767","7.8%","±0.1","54,263","±1,045","8.1%","±0.2","53,231","±1,283","7.6%","±0.2"
"        15 to 44 years","486,920","±2,131","35.5%","±0.2","243,179","±1,698","36.1%","±0.2","243,741","±1,938","34.9%","±0.2"
"        16 years and over","1,155,699","±1,981","84.2%","±0.1","563,364","±1,850","83.6%","±0.2","592,335","±1,849","84.8%","±0.2"
"        18 years and over","1,122,572","±1,002","81.8%","±0.1","546,431","±1,553","81.1%","±0.2","576,141","±1,524","82.5%","±0.2"
"        21 years and over","1,073,239","±2,735","78.2%","±0.2","520,438","±2,420","77.3%","±0.3","552,801","±2,685","79.1%","±0.4"
"        60 years and over","408,084","±3,714","29.7%","±0.3","189,568","±2,354","28.1%","±0.4","218,516","±2,717","31.3%","±0.4"
"        62 years and over","360,627","±3,340","26.3%","±0.2","165,733","±2,174","24.6%","±0.3","194,894","±2,379","27.9%","±0.3"
"        65 years and over","297,101","±1,475","21.7%","±0.1","137,231","±852","20.4%","±0.1","159,870","±1,144","22.9%","±0.2"
"        75 years and over","113,130","±668","8.2%","±0.1","49,011","±415","7.3%","±0.1","64,119","±527","9.2%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","44.7","±0.2","(X)","(X)","43.7","±0.2","(X)","(X)","45.8","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","96.4","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","66.2","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","36.0","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","30.2","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
