"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Male!!Estimate","Androscoggin County, Maine!!Male!!Margin of Error","Androscoggin County, Maine!!Percent Male!!Estimate","Androscoggin County, Maine!!Percent Male!!Margin of Error","Androscoggin County, Maine!!Female!!Estimate","Androscoggin County, Maine!!Female!!Margin of Error","Androscoggin County, Maine!!Percent Female!!Estimate","Androscoggin County, Maine!!Percent Female!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Male!!Estimate","Aroostook County, Maine!!Male!!Margin of Error","Aroostook County, Maine!!Percent Male!!Estimate","Aroostook County, Maine!!Percent Male!!Margin of Error","Aroostook County, Maine!!Female!!Estimate","Aroostook County, Maine!!Female!!Margin of Error","Aroostook County, Maine!!Percent Female!!Estimate","Aroostook County, Maine!!Percent Female!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Male!!Estimate","Cumberland County, Maine!!Male!!Margin of Error","Cumberland County, Maine!!Percent Male!!Estimate","Cumberland County, Maine!!Percent Male!!Margin of Error","Cumberland County, Maine!!Female!!Estimate","Cumberland County, Maine!!Female!!Margin of Error","Cumberland County, Maine!!Percent Female!!Estimate","Cumberland County, Maine!!Percent Female!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Male!!Estimate","Kennebec County, Maine!!Male!!Margin of Error","Kennebec County, Maine!!Percent Male!!Estimate","Kennebec County, Maine!!Percent Male!!Margin of Error","Kennebec County, Maine!!Female!!Estimate","Kennebec County, Maine!!Female!!Margin of Error","Kennebec County, Maine!!Percent Female!!Estimate","Kennebec County, Maine!!Percent Female!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Male!!Estimate","Penobscot County, Maine!!Male!!Margin of Error","Penobscot County, Maine!!Percent Male!!Estimate","Penobscot County, Maine!!Percent Male!!Margin of Error","Penobscot County, Maine!!Female!!Estimate","Penobscot County, Maine!!Female!!Margin of Error","Penobscot County, Maine!!Percent Female!!Estimate","Penobscot County, Maine!!Percent Female!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Male!!Estimate","York County, Maine!!Male!!Margin of Error","York County, Maine!!Percent Male!!Estimate","York County, Maine!!Percent Male!!Margin of Error","York County, Maine!!Female!!Estimate","York County, Maine!!Female!!Margin of Error","York County, Maine!!Percent Female!!Estimate","York County, Maine!!Percent Female!!Margin of Error"
"Total population","111,034","*****","(X)","(X)","54,544","±714","(X)","(X)","56,490","±714","(X)","(X)","66,859","*****","(X)","(X)","33,446","±219","(X)","(X)","33,413","±219","(X)","(X)","305,231","*****","(X)","(X)","148,495","±926","(X)","(X)","156,736","±926","(X)","(X)","124,486","*****","(X)","(X)","60,110","±769","(X)","(X)","64,376","±769","(X)","(X)","152,765","*****","(X)","(X)","75,507","±565","(X)","(X)","77,258","±565","(X)","(X)","214,591","*****","(X)","(X)","105,700","±857","(X)","(X)","108,891","±857","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","5,961","±235","5.4%","±0.2","3,105","±320","5.7%","±0.6","2,856","±236","5.1%","±0.4","3,165","±222","4.7%","±0.3","1,554","±106","4.6%","±0.3","1,611","±166","4.8%","±0.5","14,234","±162","4.7%","±0.1","7,073","±410","4.8%","±0.3","7,161","±406","4.6%","±0.2","5,782","±292","4.6%","±0.2","2,754","±148","4.6%","±0.3","3,028","±246","4.7%","±0.4","6,411","±294","4.2%","±0.2","3,212","±167","4.3%","±0.2","3,199","±233","4.1%","±0.3","9,368","±435","4.4%","±0.2","4,929","±445","4.7%","±0.4","4,439","±263","4.1%","±0.2"
"        5 to 9 years","6,594","±1,260","5.9%","±1.1","3,185","±1,003","5.8%","±1.8","3,409","±919","6.0%","±1.6","3,086","±477","4.6%","±0.7","1,538","±409","4.6%","±1.2","1,548","±509","4.6%","±1.5","14,289","±1,810","4.7%","±0.6","7,025","±1,112","4.7%","±0.7","7,264","±1,430","4.6%","±0.9","6,095","±954","4.9%","±0.8","2,665","±600","4.4%","±1.0","3,430","±716","5.3%","±1.1","8,240","±922","5.4%","±0.6","3,925","±773","5.2%","±1.0","4,315","±744","5.6%","±1.0","11,420","±1,232","5.3%","±0.6","5,391","±979","5.1%","±0.9","6,029","±873","5.5%","±0.8"
"        10 to 14 years","6,063","±1,150","5.5%","±1.0","3,347","±839","6.1%","±1.6","2,716","±744","4.8%","±1.3","3,685","±506","5.5%","±0.8","1,920","±401","5.7%","±1.2","1,765","±535","5.3%","±1.6","17,143","±1,805","5.6%","±0.6","8,598","±1,228","5.8%","±0.8","8,545","±1,315","5.5%","±0.8","6,893","±961","5.5%","±0.8","4,021","±625","6.7%","±1.0","2,872","±730","4.5%","±1.1","6,868","±916","4.5%","±0.6","3,754","±795","5.0%","±1.1","3,114","±751","4.0%","±1.0","10,695","±1,315","5.0%","±0.6","6,189","±1,050","5.9%","±1.0","4,506","±886","4.1%","±0.8"
"        15 to 19 years","7,073","±665","6.4%","±0.6","3,879","±410","7.1%","±0.7","3,194","±618","5.7%","±1.1","3,893","±448","5.8%","±0.7","2,095","±447","6.3%","±1.3","1,798","±123","5.4%","±0.4","16,538","±723","5.4%","±0.2","8,369","±513","5.6%","±0.3","8,169","±530","5.2%","±0.3","6,905","±554","5.5%","±0.4","3,435","±200","5.7%","±0.3","3,470","±524","5.4%","±0.8","11,016","±538","7.2%","±0.4","5,636","±270","7.5%","±0.4","5,380","±442","7.0%","±0.5","11,758","±566","5.5%","±0.3","6,192","±487","5.9%","±0.4","5,566","±371","5.1%","±0.3"
"        20 to 24 years","7,426","±716","6.7%","±0.6","3,418","±211","6.3%","±0.4","4,008","±645","7.1%","±1.2","3,290","±432","4.9%","±0.6","1,776","±425","5.3%","±1.3","1,514","±70","4.5%","±0.2","18,173","±905","6.0%","±0.3","8,574","±569","5.8%","±0.4","9,599","±755","6.1%","±0.5","8,258","±610","6.6%","±0.5","3,689","±259","6.1%","±0.4","4,569","±565","7.1%","±0.9","10,766","±395","7.0%","±0.3","5,663","±313","7.5%","±0.4","5,103","±284","6.6%","±0.4","10,734","±495","5.0%","±0.2","5,689","±407","5.4%","±0.4","5,045","±206","4.6%","±0.2"
"        25 to 29 years","6,362","±292","5.7%","±0.3","3,219","±244","5.9%","±0.5","3,143","±194","5.6%","±0.4","3,274","±175","4.9%","±0.3","1,706","±164","5.1%","±0.5","1,568","±88","4.7%","±0.3","19,298","±640","6.3%","±0.2","9,492","±462","6.4%","±0.3","9,806","±448","6.3%","±0.3","7,330","±423","5.9%","±0.3","3,609","±277","6.0%","±0.5","3,721","±308","5.8%","±0.5","9,225","±470","6.0%","±0.3","4,673","±354","6.2%","±0.5","4,552","±308","5.9%","±0.4","12,971","±698","6.0%","±0.3","6,589","±477","6.2%","±0.4","6,382","±379","5.9%","±0.4"
"        30 to 34 years","7,924","±686","7.1%","±0.6","4,153","±488","7.6%","±0.9","3,771","±379","6.7%","±0.6","3,522","±294","5.3%","±0.4","1,991","±297","6.0%","±0.9","1,531","±13","4.6%","±0.1","21,160","±741","6.9%","±0.2","10,408","±614","7.0%","±0.4","10,752","±360","6.9%","±0.2","7,501","±236","6.0%","±0.2","3,762","±181","6.3%","±0.3","3,739","±143","5.8%","±0.2","10,121","±317","6.6%","±0.2","5,113","±259","6.8%","±0.3","5,008","±228","6.5%","±0.3","13,717","±580","6.4%","±0.3","6,854","±367","6.5%","±0.3","6,863","±356","6.3%","±0.3"
"        35 to 39 years","7,411","±1,220","6.7%","±1.1","3,540","±735","6.5%","±1.4","3,871","±759","6.9%","±1.3","3,789","±613","5.7%","±0.9","1,911","±384","5.7%","±1.2","1,878","±384","5.6%","±1.2","24,863","±2,546","8.1%","±0.8","13,212","±1,670","8.9%","±1.1","11,651","±1,633","7.4%","±1.0","6,860","±1,149","5.5%","±0.9","3,521","±767","5.9%","±1.3","3,339","±707","5.2%","±1.1","9,736","±1,106","6.4%","±0.7","4,634","±647","6.1%","±0.9","5,102","±824","6.6%","±1.1","14,224","±1,597","6.6%","±0.7","6,543","±900","6.2%","±0.9","7,681","±1,222","7.1%","±1.1"
