"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Veterans!!Estimate","Androscoggin County, Maine!!Veterans!!Margin of Error","Androscoggin County, Maine!!Percent Veterans!!Estimate","Androscoggin County, Maine!!Percent Veterans!!Margin of Error","Androscoggin County, Maine!!Nonveterans!!Estimate","Androscoggin County, Maine!!Nonveterans!!Margin of Error","Androscoggin County, Maine!!Percent Nonveterans!!Estimate","Androscoggin County, Maine!!Percent Nonveterans!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Veterans!!Estimate","Aroostook County, Maine!!Veterans!!Margin of Error","Aroostook County, Maine!!Percent Veterans!!Estimate","Aroostook County, Maine!!Percent Veterans!!Margin of Error","Aroostook County, Maine!!Nonveterans!!Estimate","Aroostook County, Maine!!Nonveterans!!Margin of Error","Aroostook County, Maine!!Percent Nonveterans!!Estimate","Aroostook County, Maine!!Percent Nonveterans!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Veterans!!Estimate","Cumberland County, Maine!!Veterans!!Margin of Error","Cumberland County, Maine!!Percent Veterans!!Estimate","Cumberland County, Maine!!Percent Veterans!!Margin of Error","Cumberland County, Maine!!Nonveterans!!Estimate","Cumberland County, Maine!!Nonveterans!!Margin of Error","Cumberland County, Maine!!Percent Nonveterans!!Estimate","Cumberland County, Maine!!Percent Nonveterans!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Veterans!!Estimate","Kennebec County, Maine!!Veterans!!Margin of Error","Kennebec County, Maine!!Percent Veterans!!Estimate","Kennebec County, Maine!!Percent Veterans!!Margin of Error","Kennebec County, Maine!!Nonveterans!!Estimate","Kennebec County, Maine!!Nonveterans!!Margin of Error","Kennebec County, Maine!!Percent Nonveterans!!Estimate","Kennebec County, Maine!!Percent Nonveterans!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Veterans!!Estimate","Penobscot County, Maine!!Veterans!!Margin of Error","Penobscot County, Maine!!Percent Veterans!!Estimate","Penobscot County, Maine!!Percent Veterans!!Margin of Error","Penobscot County, Maine!!Nonveterans!!Estimate","Penobscot County, Maine!!Nonveterans!!Margin of Error","Penobscot County, Maine!!Percent Nonveterans!!Estimate","Penobscot County, Maine!!Percent Nonveterans!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Veterans!!Estimate","York County, Maine!!Veterans!!Margin of Error","York County, Maine!!Percent Veterans!!Estimate","York County, Maine!!Percent Veterans!!Margin of Error","York County, Maine!!Nonveterans!!Estimate","York County, Maine!!Nonveterans!!Margin of Error","York County, Maine!!Percent Nonveterans!!Estimate","York County, Maine!!Percent Nonveterans!!Margin of Error"
"Civilian population 18 years and over","87,430","±364","(X)","(X)","8,538","±1,235","9.8%","±1.4","78,892","±1,374","90.2%","±1.4","54,620","±199","(X)","(X)","5,408","±820","9.9%","±1.5","49,212","±818","90.1%","±1.5","249,228","±518","(X)","(X)","16,641","±2,129","6.7%","±0.9","232,587","±2,268","93.3%","±0.9","101,089","±471","(X)","(X)","10,243","±1,454","10.1%","±1.4","90,846","±1,399","89.9%","±1.4","125,532","±78","(X)","(X)","11,308","±1,564","9.0%","±1.2","114,224","±1,559","91.0%","±1.2","175,772","±128","(X)","(X)","15,690","±1,861","8.9%","±1.1","160,082","±1,882","91.1%","±1.1"
"    PERIOD OF SERVICE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Gulf War (9/2001 or later) veterans","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","842","±361","15.6%","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,623","±1,229","21.8%","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,179","±1,109","20.3%","±6.5","(X)","(X)","(X)","(X)"
"        Gulf War (8/1990 to 8/2001) veterans","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,177","±401","21.8%","±6.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,074","±1,117","18.5%","±5.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,742","±896","17.5%","±5.4","(X)","(X)","(X)","(X)"
"        Vietnam era veterans","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2,506","±529","46.3%","±8.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6,106","±1,044","36.7%","±6.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6,334","±1,057","40.4%","±6.0","(X)","(X)","(X)","(X)"
"        Korean War veterans","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","236","±140","4.4%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","677","±341","4.1%","±2.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","585","±416","3.7%","±2.7","(X)","(X)","(X)","(X)"
"        World War II veterans","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","81","±93","1.5%","±1.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0","±182","0.0%","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","127","±127","0.8%","±0.8","(X)","(X)","(X)","(X)"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","42,059","±416","48.1%","±0.5","7,968","±1,177","93.3%","±4.1","34,091","±1,272","43.2%","±1.0","27,181","±296","49.8%","±0.4","4,884","±788","90.3%","±5.1","22,297","±798","45.3%","±1.0","120,694","±635","48.4%","±0.2","14,985","±2,013","90.0%","±4.3","105,709","±2,197","45.4%","±0.6","48,155","±856","47.6%","±0.7","9,273","±1,362","90.5%","±4.2","38,882","±1,311","42.8%","±1.0","61,635","±441","49.1%","±0.4","10,226","±1,508","90.4%","±4.9","51,409","±1,560","45.0%","±0.9","85,232","±689","48.5%","±0.4","13,778","±1,658","87.8%","±4.8","71,454","±1,611","44.6%","±0.6"
"        Female","45,371","±548","51.9%","±0.5","570","±362","6.7%","±4.1","44,801","±616","56.8%","±1.0","27,439","±216","50.2%","±0.4","524","±287","9.7%","±5.1","26,915","±341","54.7%","±1.0","128,534","±665","51.6%","±0.2","1,656","±764","10.0%","±4.3","126,878","±988","54.6%","±0.6","52,934","±711","52.4%","±0.7","970","±464","9.5%","±4.2","51,964","±799","57.2%","±1.0","63,897","±443","50.9%","±0.4","1,082","±573","9.6%","±4.9","62,815","±753","55.0%","±0.9","90,540","±701","51.5%","±0.4","1,912","±820","12.2%","±4.8","88,628","±952","55.4%","±0.6"
