"Label (Grouping)","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Below poverty level!!Estimate","Maine!!Below poverty level!!Margin of Error","Maine!!Percent below poverty level!!Estimate","Maine!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","1,304,038","±705","144,384","±3,764","11.1%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","243,504","±798","34,067","±1,848","14.0%","±0.8"
"            Under 5 years","62,130","±391","9,587","±814","15.4%","±1.3"
"            5 to 17 years","181,374","±788","24,480","±1,466","13.5%","±0.8"
"            Related children of householder under 18 years","241,764","±867","32,382","±1,807","13.4%","±0.8"
"        18 to 64 years","791,826","±561","87,428","±2,355","11.0%","±0.3"
"            18 to 34 years","249,771","±559","37,004","±1,643","14.8%","±0.7"
"            35 to 64 years","542,055","±588","50,424","±1,665","9.3%","±0.3"
"        60 years and over","372,291","±1,720","32,588","±1,249","8.8%","±0.3"
"        65 years and over","268,708","±418","22,889","±1,135","8.5%","±0.4"
"    SEX","","","","","",""
"        Male","637,429","±850","64,177","±2,200","10.1%","±0.3"
"        Female","666,609","±799","80,207","±2,196","12.0%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","1,224,631","±1,545","127,585","±3,406","10.4%","±0.3"
"        Black or African American alone","17,014","±803","5,297","±858","31.1%","±5.0"
"        American Indian and Alaska Native alone","8,663","±526","2,423","±361","28.0%","±3.9"
"        Asian alone","14,013","±552","1,823","±347","13.0%","±2.5"
"        Native Hawaiian and Other Pacific Islander alone","190","±69","64","±35","33.7%","±17.1"
"        Some other race alone","4,658","±889","653","±329","14.0%","±7.4"
"        Two or more races","34,869","±1,479","6,539","±738","18.8%","±2.1"
"        Hispanic or Latino origin (of any race)","21,832","±222","3,688","±533","16.9%","±2.4"
"        White alone, not Hispanic or Latino","1,211,491","±1,569","125,403","±3,374","10.4%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","969,749","±491","93,227","±2,448","9.6%","±0.3"
"            Less than high school graduate","63,838","±2,004","15,267","±939","23.9%","±1.2"
"            High school graduate (includes equivalency)","301,595","±4,110","40,226","±1,651","13.3%","±0.5"
"            Some college, associate's degree","286,742","±3,563","24,683","±1,153","8.6%","±0.4"
"            Bachelor's degree or higher","317,574","±4,051","13,051","±982","4.1%","±0.3"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","695,718","±3,200","41,535","±1,810","6.0%","±0.3"
"            Employed","667,885","±3,395","34,163","±1,568","5.1%","±0.2"
"                Male","339,821","±2,641","14,481","±946","4.3%","±0.3"
"                Female","328,064","±2,197","19,682","±1,104","6.0%","±0.3"
"            Unemployed","27,833","±1,288","7,372","±600","26.5%","±2.0"
"                Male","16,343","±1,027","3,987","±455","24.4%","±2.7"
"                Female","11,490","±767","3,385","±403","29.5%","±3.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","1,090,779","±709","114,218","±2,733","10.5%","±0.3"
"            Worked full-time, year-round in the past 12 months","457,656","±3,308","7,731","±749","1.7%","±0.2"
"            Worked part-time or part-year in the past 12 months","280,467","±3,418","37,969","±1,876","13.5%","±0.6"
"            Did not work","352,656","±3,114","68,518","±2,050","19.4%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","56,069","±1,965","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","197,483","±4,847","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","250,932","±4,804","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","332,566","±6,155","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","367,114","±6,019","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","589,616","±6,031","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","792,878","±6,466","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","949,963","±6,105","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","316,038","±4,516","73,839","±1,950","23.4%","±0.5"
"    Male","149,792","±2,684","31,766","±1,195","21.2%","±0.8"
"    Female","166,246","±2,684","42,073","±1,423","25.3%","±0.8"
"    15 years","437","±138","435","±138","99.5%","±0.8"
"    16 to 17 years","1,240","±217","1,204","±203","97.1%","±2.8"
"    18 to 24 years","30,076","±1,362","12,995","±969","43.2%","±2.2"
"    25 to 34 years","56,321","±1,987","10,861","±786","19.3%","±1.3"
"    35 to 44 years","31,345","±1,609","6,323","±654","20.2%","±1.7"
"    45 to 54 years","41,782","±1,419","9,898","±788","23.7%","±1.6"
"    55 to 64 years","61,129","±1,747","14,988","±843","24.5%","±1.2"
"    65 to 74 years","49,172","±1,614","8,441","±530","17.2%","±1.1"
"    75 years and over","44,536","±1,423","8,694","±702","19.5%","±1.4"
"    Mean income deficit for unrelated individuals (dollars)","6,261","±131","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","123,154","±2,659","3,565","±476","2.9%","±0.4"
"    Worked less than full-time, year-round in the past 12 months","75,799","±2,261","23,702","±1,380","31.3%","±1.5"
"    Did not work","117,085","±2,517","46,572","±1,712","39.8%","±1.1"
