"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Native!!Estimate","Androscoggin County, Maine!!Native!!Margin of Error","Androscoggin County, Maine!!Foreign born!!Estimate","Androscoggin County, Maine!!Foreign born!!Margin of Error","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Native!!Estimate","Aroostook County, Maine!!Native!!Margin of Error","Aroostook County, Maine!!Foreign born!!Estimate","Aroostook County, Maine!!Foreign born!!Margin of Error","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Estimate","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Native!!Estimate","Cumberland County, Maine!!Native!!Margin of Error","Cumberland County, Maine!!Foreign born!!Estimate","Cumberland County, Maine!!Foreign born!!Margin of Error","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Estimate","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Native!!Estimate","Franklin County, Maine!!Native!!Margin of Error","Franklin County, Maine!!Foreign born!!Estimate","Franklin County, Maine!!Foreign born!!Margin of Error","Franklin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Franklin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Native!!Estimate","Hancock County, Maine!!Native!!Margin of Error","Hancock County, Maine!!Foreign born!!Estimate","Hancock County, Maine!!Foreign born!!Margin of Error","Hancock County, Maine!!Foreign born; Naturalized citizen!!Estimate","Hancock County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Native!!Estimate","Kennebec County, Maine!!Native!!Margin of Error","Kennebec County, Maine!!Foreign born!!Estimate","Kennebec County, Maine!!Foreign born!!Margin of Error","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Estimate","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Native!!Estimate","Knox County, Maine!!Native!!Margin of Error","Knox County, Maine!!Foreign born!!Estimate","Knox County, Maine!!Foreign born!!Margin of Error","Knox County, Maine!!Foreign born; Naturalized citizen!!Estimate","Knox County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Native!!Estimate","Lincoln County, Maine!!Native!!Margin of Error","Lincoln County, Maine!!Foreign born!!Estimate","Lincoln County, Maine!!Foreign born!!Margin of Error","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Estimate","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Native!!Estimate","Oxford County, Maine!!Native!!Margin of Error","Oxford County, Maine!!Foreign born!!Estimate","Oxford County, Maine!!Foreign born!!Margin of Error","Oxford County, Maine!!Foreign born; Naturalized citizen!!Estimate","Oxford County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Native!!Estimate","Penobscot County, Maine!!Native!!Margin of Error","Penobscot County, Maine!!Foreign born!!Estimate","Penobscot County, Maine!!Foreign born!!Margin of Error","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Estimate","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Native!!Estimate","Piscataquis County, Maine!!Native!!Margin of Error","Piscataquis County, Maine!!Foreign born!!Estimate","Piscataquis County, Maine!!Foreign born!!Margin of Error","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Native!!Estimate","Sagadahoc County, Maine!!Native!!Margin of Error","Sagadahoc County, Maine!!Foreign born!!Estimate","Sagadahoc County, Maine!!Foreign born!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Native!!Estimate","Somerset County, Maine!!Native!!Margin of Error","Somerset County, Maine!!Foreign born!!Estimate","Somerset County, Maine!!Foreign born!!Margin of Error","Somerset County, Maine!!Foreign born; Naturalized citizen!!Estimate","Somerset County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Native!!Estimate","Waldo County, Maine!!Native!!Margin of Error","Waldo County, Maine!!Foreign born!!Estimate","Waldo County, Maine!!Foreign born!!Margin of Error","Waldo County, Maine!!Foreign born; Naturalized citizen!!Estimate","Waldo County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Native!!Estimate","Washington County, Maine!!Native!!Margin of Error","Washington County, Maine!!Foreign born!!Estimate","Washington County, Maine!!Foreign born!!Margin of Error","Washington County, Maine!!Foreign born; Naturalized citizen!!Estimate","Washington County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Native!!Estimate","York County, Maine!!Native!!Margin of Error","York County, Maine!!Foreign born!!Estimate","York County, Maine!!Foreign born!!Margin of Error","York County, Maine!!Foreign born; Naturalized citizen!!Estimate","York County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","York County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","York County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error"
"Total population","","","","","","","","","","","","","","","","","","","","","294,520","*****","276,817","±936","17,703","±936","9,492","±880","8,211","±768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206,074","*****","198,844","±605","7,230","±605","4,209","±550","3,021","±550"
"    SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","","","","","","","","","","","","","","","","","","","","","48.5%","±0.1","48.5%","±0.1","48.7%","±2.0","46.3%","±3.1","51.5%","±3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7%","±0.1","48.8%","±0.2","46.9%","±4.0","45.0%","±6.1","49.6%","±6.2"
"        Female","","","","","","","","","","","","","","","","","","","","","51.5%","±0.1","51.5%","±0.1","51.3%","±2.0","53.7%","±3.1","48.5%","±3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.3%","±0.1","51.2%","±0.2","53.1%","±4.0","55.0%","±6.1","50.4%","±6.2"
"        Under 5 years","","","","","","","","","","","","","","","","","","","","","4.8%","±0.1","5.0%","±0.1","1.6%","±0.7","0.3%","±0.4","3.1%","±1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7%","±0.1","4.8%","±0.1","0.7%","±0.8","0.0%","±0.7","1.8%","±2.0"
"        5 to 17 years","","","","","","","","","","","","","","","","","","","","","13.8%","±0.1","14.0%","±0.1","10.6%","±1.8","6.2%","±2.4","15.8%","±3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1%","±0.1","14.5%","±0.1","4.2%","±1.6","3.7%","±2.1","5.0%","±2.9"
"        18 to 24 years","","","","","","","","","","","","","","","","","","","","","8.6%","±0.1","8.6%","±0.1","9.2%","±1.4","6.0%","±1.7","12.8%","±2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3%","±0.1","7.4%","±0.1","3.2%","±1.2","2.9%","±1.7","3.6%","±2.2"
"        25 to 44 years","","","","","","","","","","","","","","","","","","","","","26.0%","±0.1","25.5%","±0.1","34.1%","±2.0","27.2%","±3.2","42.2%","±4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6%","±0.1","23.3%","±0.2","30.4%","±5.8","18.7%","±5.4","46.6%","±9.5"
"        45 to 54 years","","","","","","","","","","","","","","","","","","","","","13.7%","±0.1","13.4%","±0.1","17.4%","±1.5","19.8%","±3.0","14.5%","±3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8%","±0.1","13.7%","±0.1","16.7%","±3.5","22.1%","±4.6","9.3%","±4.5"
"        55 to 64 years","","","","","","","","","","","","","","","","","","","","","14.6%","±0.1","14.7%","±0.1","12.5%","±1.6","18.1%","±2.8","6.0%","±1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1%","±0.1","16.1%","±0.2","16.6%","±4.4","17.6%","±6.4","15.1%","±6.3"
"        65 to 74 years","","","","","","","","","","","","","","","","","","","","","10.9%","±0.1","11.1%","±0.1","8.5%","±1.5","12.8%","±2.3","3.5%","±1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1%","±0.1","12.0%","±0.1","15.6%","±3.7","18.1%","±4.2","12.1%","±7.0"
"        75 to 84 years","","","","","","","","","","","","","","","","","","","","","5.2%","±0.2","5.2%","±0.2","4.5%","±1.3","6.8%","±2.1","2.0%","±1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5%","±0.3","5.4%","±0.2","9.2%","±3.3","11.9%","±5.1","5.4%","±2.5"
"        85 years and over","","","","","","","","","","","","","","","","","","","","","2.4%","±0.2","2.4%","±0.2","1.6%","±0.6","2.9%","±1.1","0.0%","±0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9%","±0.3","2.9%","±0.3","3.5%","±1.2","5.1%","±2.2","1.2%","±1.3"
"        Median age (years)","","","","","","","","","","","","","","","","","","","","","42.1","±0.2","42.2","±0.3","41.7","±1.1","49.7","±2.1","33.1","±1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3","±0.2","45.0","±0.2","51.5","±4.3","56.8","±6.2","43.5","±1.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","","","","","","","","","","","","","","","","","","","","","96.9%","±0.3","96.9%","±0.3","96.9%","±1.3","96.3%","±1.6","97.6%","±1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4%","±0.5","97.6%","±0.5","94.4%","±3.4","93.1%","±4.2","96.2%","±3.1"
"            White","","","","","","","","","","","","","","","","","","","","","90.7%","±0.3","94.1%","±0.4","37.4%","±3.8","46.1%","±4.6","27.4%","±4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.7%","±0.5","95.8%","±0.5","63.3%","±4.5","62.5%","±5.6","64.5%","±8.3"
"            Black or African American","","","","","","","","","","","","","","","","","","","","","3.1%","±0.2","1.4%","±0.2","29.4%","±3.0","16.0%","±3.3","45.0%","±5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9%","±0.1","0.6%","±0.1","8.4%","±2.8","6.5%","±3.2","11.1%","±4.3"
