"Label (Grouping)","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!With a disability!!Estimate","Maine!!With a disability!!Margin of Error","Maine!!Percent with a disability!!Estimate","Maine!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","1,325,025","±382","210,077","±3,205","15.9%","±0.2"
"    SEX","","","","","",""
"        Male","647,432","±748","105,263","±2,068","16.3%","±0.3"
"        Female","677,593","±606","104,814","±2,172","15.5%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","1,241,746","±1,415","198,307","±3,018","16.0%","±0.2"
"        Black or African American alone","18,109","±809","2,110","±308","11.7%","±1.6"
"        American Indian and Alaska Native alone","8,808","±544","2,008","±253","22.8%","±2.7"
"        Asian alone","15,094","±595","1,259","±292","8.3%","±2.0"
"        Native Hawaiian and Other Pacific Islander alone","190","±69","13","±12","6.8%","±6.3"
"        Some other race alone","4,776","±889","544","±169","11.4%","±4.3"
"        Two or more races","36,302","±1,505","5,836","±638","16.1%","±1.5"
"        White alone, not Hispanic or Latino","1,228,197","±1,389","196,211","±2,979","16.0%","±0.2"
"        Hispanic or Latino (of any race)","22,542","±191","3,156","±393","14.0%","±1.7"
"    AGE","","","","","",""
"        Under 5 years","63,988","±281","399","±131","0.6%","±0.2"
"        5 to 17 years","186,312","±371","14,816","±920","8.0%","±0.5"
"        18 to 34 years","264,505","±621","26,266","±1,272","9.9%","±0.5"
"        35 to 64 years","541,512","±626","80,025","±1,984","14.8%","±0.4"
"        65 to 74 years","163,092","±425","38,293","±1,122","23.5%","±0.7"
"        75 years and over","105,616","±449","50,278","±1,178","47.6%","±1.1"
"    DISABILITY TYPE BY DETAILED AGE","","","","","",""
"        With a hearing difficulty","(X)","(X)","66,728","±1,771","5.0%","±0.1"
"            Population under 18 years","250,300","±253","1,449","±281","0.6%","±0.1"
"                Population under 5 years","63,988","±281","251","±119","0.4%","±0.2"
"                Population 5 to 17 years","186,312","±371","1,198","±229","0.6%","±0.1"
"            Population 18 to 64 years","806,017","±603","22,172","±1,075","2.8%","±0.1"
"                Population 18 to 34 years","264,505","±621","3,148","±528","1.2%","±0.2"
"                Population 35 to 64 years","541,512","±626","19,024","±993","3.5%","±0.2"
"            Population 65 years and over","268,708","±418","43,107","±1,273","16.0%","±0.5"
"                Population 65 to 74 years","163,092","±425","16,772","±871","10.3%","±0.5"
"                Population 75 years and over","105,616","±449","26,335","±954","24.9%","±0.9"
"        With a vision difficulty","(X)","(X)","28,020","±1,412","2.1%","±0.1"
"            Population under 18 years","250,300","±253","1,500","±314","0.6%","±0.1"
"                Population under 5 years","63,988","±281","170","±83","0.3%","±0.1"
"                Population 5 to 17 years","186,312","±371","1,330","±290","0.7%","±0.2"
"            Population 18 to 64 years","806,017","±603","13,807","±1,060","1.7%","±0.1"
"                Population 18 to 34 years","264,505","±621","2,856","±472","1.1%","±0.2"
"                Population 35 to 64 years","541,512","±626","10,951","±881","2.0%","±0.2"
"            Population 65 years and over","268,708","±418","12,713","±877","4.7%","±0.3"
"                Population 65 to 74 years","163,092","±425","5,036","±606","3.1%","±0.4"
"                Population 75 years and over","105,616","±449","7,677","±632","7.3%","±0.6"
"        With a cognitive difficulty","(X)","(X)","86,796","±2,502","6.9%","±0.2"
"            Population under 18 years","186,312","±371","12,606","±832","6.8%","±0.4"
"            Population 18 to 64 years","806,017","±603","53,375","±1,785","6.6%","±0.2"
"                Population 18 to 34 years","264,505","±621","17,865","±1,059","6.8%","±0.4"
"                Population 35 to 64 years","541,512","±626","35,510","±1,361","6.6%","±0.3"
"            Population 65 years and over","268,708","±418","20,815","±1,053","7.7%","±0.4"
"                Population 65 to 74 years","163,092","±425","8,192","±681","5.0%","±0.4"
"                Population 75 years and over","105,616","±449","12,623","±673","12.0%","±0.6"
"        With an ambulatory difficulty","(X)","(X)","94,012","±1,996","7.5%","±0.2"
"            Population under 18 years","186,312","±371","1,126","±258","0.6%","±0.1"
"            Population 18 to 64 years","806,017","±603","43,012","±1,538","5.3%","±0.2"
"                Population 18 to 34 years","264,505","±621","4,131","±403","1.6%","±0.2"
"                Population 35 to 64 years","541,512","±626","38,881","±1,488","7.2%","±0.3"
"            Population 65 years and over","268,708","±418","49,874","±1,480","18.6%","±0.6"
"                Population 65 to 74 years","163,092","±425","20,322","±962","12.5%","±0.6"
"                Population 75 years and over","105,616","±449","29,552","±1,080","28.0%","±1.0"
"        With a self-care difficulty","(X)","(X)","33,232","±1,277","2.6%","±0.1"
"            Population under 18 years","186,312","±371","2,627","±392","1.4%","±0.2"
"            Population 18 to 64 years","806,017","±603","15,030","±876","1.9%","±0.1"
"                Population 18 to 34 years","264,505","±621","2,361","±284","0.9%","±0.1"
"                Population 35 to 64 years","541,512","±626","12,669","±861","2.3%","±0.2"
"            Population 65 years and over","268,708","±418","15,575","±855","5.8%","±0.3"
"                Population 65 to 74 years","163,092","±425","5,010","±489","3.1%","±0.3"
"                Population 75 years and over","105,616","±449","10,565","±689","10.0%","±0.6"
"        With an independent living difficulty","(X)","(X)","69,082","±1,890","6.4%","±0.2"
"            Population 18 to 64 years","806,017","±603","39,393","±1,489","4.9%","±0.2"
"                Population 18 to 34 years","264,505","±621","11,590","±785","4.4%","±0.3"
"                Population 35 to 64 years","541,512","±626","27,803","±1,242","5.1%","±0.2"
"            Population 65 years and over","268,708","±418","29,689","±1,095","11.0%","±0.4"
"                Population 65 to 74 years","163,092","±425","8,610","±599","5.3%","±0.4"
"                Population 75 years and over","105,616","±449","21,079","±853","20.0%","±0.8"
