"Label (Grouping)","Maine"
"Total:","1,362,359"
"    Population of one race:","1,297,649"
"        White alone","1,237,041"
"        Black or African American alone","25,752"
"        American Indian and Alaska Native alone","7,885"
"        Asian alone","16,798"
"        Native Hawaiian and Other Pacific Islander alone","443"
"        Some Other Race alone","9,730"
"    Population of two or more races:","64,710"
"        Population of two races:","61,608"
"            White; Black or African American","7,612"
"            White; American Indian and Alaska Native","23,177"
"            White; Asian","7,074"
"            White; Native Hawaiian and Other Pacific Islander","430"
"            White; Some Other Race","21,646"
"            Black or African American; American Indian and Alaska Native","272"
"            Black or African American; Asian","163"
"            Black or African American; Native Hawaiian and Other Pacific Islander","41"
"            Black or African American; Some Other Race","651"
"            American Indian and Alaska Native; Asian","86"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","16"
"            American Indian and Alaska Native; Some Other Race","141"
"            Asian; Native Hawaiian and Other Pacific Islander","153"
"            Asian; Some Other Race","123"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","23"
"        Population of three races:","2,808"
"            White; Black or African American; American Indian and Alaska Native","846"
"            White; Black or African American; Asian","194"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","21"
"            White; Black or African American; Some Other Race","444"
"            White; American Indian and Alaska Native; Asian","221"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","59"
"            White; American Indian and Alaska Native; Some Other Race","483"
"            White; Asian; Native Hawaiian and Other Pacific Islander","250"
"            White; Asian; Some Other Race","173"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"            Black or African American; American Indian and Alaska Native; Asian","17"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","11"
"            Black or African American; American Indian and Alaska Native; Some Other Race","24"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","5"
"            Black or African American; Asian; Some Other Race","17"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","7"
"            American Indian and Alaska Native; Asian; Some Other Race","4"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"        Population of four races:","231"
"            White; Black or African American; American Indian and Alaska Native; Asian","26"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","13"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","94"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","17"
"            White; Black or African American; Asian; Some Other Race","13"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","21"
"            White; American Indian and Alaska Native; Asian; Some Other Race","22"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","7"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","4"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"        Population of five races:","63"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","34"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","7"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","10"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","7"
"        Population of six races:","0"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
